stopID,gps,arrivalTime,departureTime,connectionID,stationID
1,"49.7134667N, 17.7582722E",12:00:00,12:01:00,11,tst1
2,"49.7741814N, 17.7475375E",12:05:00,12:06:00,11,tst2
3,"49.6969069N, 17.7886239E",12:10:00,12:11:00,11,tst3
4,"49.6952592N, 17.7879486E",11:00:00,11:01:00,91,bst1
5,"49.7067069N, 17.7684325E",11:05:00,11:06:00,91,bst2
6,"49.7760583N, 17.7494736E",11:10:00,11:11:00,91,bst3
7,"45.0034761N 14.2635348E",10:00:00,10:01:00,371,tst4
8,"50.091689N 14.443813E",10:05:00,10:06:00,371,tst5
9,"50.100481N 14.464590E",10:10:00,10:11:00,371,tst6
10,"50.108388N 14.475745E",10:15:00,10:16:00,371,bst4
11,"50.108388N 14.475745E",14:00:00,14:01:00,1371,bst5
12,"50.100481N 14.464590E",14:05:00,14:06:00,1371,bst6
13,"50.108388N 14.475745E",15:00:00,15:01:00,1372,tst1
14,"50.100481N 14.464590E",15:05:00,15:07:00,1372,bst1
