stopID,gps,arrivalTime,departureTime,connectionID,busStationID,trainStationID
1,"49.7134667N, 17.7582722E",12:00:00,12:01:00,1-1,,1
2,"49.7741814N, 17.7475375E",12:05:00,12:06:00,1-1,,2
3,"49.6969069N, 17.7886239E",12:10:00,12:11:00,1-1,,3
4,"49.6952592N, 17.7879486E",11:00:00,11:01:00,9-1,4,
5,"49.7067069N, 17.7684325E",11:05:00,11:06:00,9-1,5,
6,"49.7760583N, 17.7494736E",11:10:00,11:11:00,9-1,6,
7,"45.0034761N, 14.2635348E",10:00:00,10:01:00,37-1,,7
8,"50.0916890N, 14.4438130E",10:05:00,10:06:00,37-1,,8
9,"50.1004810N, 14.4645900E",10:10:00,10:11:00,37-1,,9
10,"50.1083880N, 14.4757450E",10:15:00,10:16:00,37-1,10,
11,"50.1083880N, 14.4757450E",14:00:00,14:01:00,137-1,11,
12,"50.1004810N, 14.4645900E",14:05:00,14:06:00,137-1,12,
13,"50.1083880N, 14.4757450E",15:00:00,15:01:00,137-2,11,
14,"50.1004810N, 14.4645900E",15:05:00,15:07:00,137-2,12,
